inflfn,measure,rmse,trendfn,std_sim_error,me,nsim,params,resamplefn,mse,corr,mae,path
PercEq-69.0,Percentil equiponderado 69.0,1.1094071,TrendRandomWalk,0.011294653403010802,-0.10016139,125000,"(0.69f0,)",ResampleSBB-36,2.213005,0.8583209,1.1094071,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-69.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-68.0,Percentil equiponderado 68.0,1.1379085,TrendRandomWalk,0.010887100121406219,-0.32410565,125000,"(0.68f0,)",ResampleSBB-36,2.2237854,0.8570444,1.1379085,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-68.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-70.0,Percentil equiponderado 70.0,1.1085981,TrendRandomWalk,0.012218587175172555,0.13536948,125000,"(0.7f0,)",ResampleSBB-36,2.304243,0.860189,1.1085981,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-70.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-67.0,Percentil equiponderado 67.0,1.1927128,TrendRandomWalk,0.011188872905443372,-0.5387539,125000,"(0.67f0,)",ResampleSBB-36,2.3575091,0.8549278,1.1927128,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-67.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-71.0,Percentil equiponderado 71.0,1.148643,TrendRandomWalk,0.01400808706627987,0.38608268,125000,"(0.71f0,)",ResampleSBB-36,2.554489,0.86198485,1.148643,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-71.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-66.0,Percentil equiponderado 66.0,1.2651715,TrendRandomWalk,0.01191197795597508,-0.7484891,125000,"(0.66f0,)",ResampleSBB-36,2.5785785,0.8533444,1.2651715,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-66.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-65.0,Percentil equiponderado 65.0,1.3523946,TrendRandomWalk,0.013038219972737004,-0.9498982,125000,"(0.65f0,)",ResampleSBB-36,2.8898828,0.8513128,1.3523946,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-65.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-72.0,Percentil equiponderado 72.0,1.2296449,TrendRandomWalk,0.01647026819271003,0.6481356,125000,"(0.72f0,)",ResampleSBB-36,2.9657617,0.8632549,1.2296449,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-72.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-64.0,Percentil equiponderado 64.0,1.4533237,TrendRandomWalk,0.014390114193377527,-1.1443383,125000,"(0.64f0,)",ResampleSBB-36,3.2838154,0.8484804,1.4533237,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-64.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-73.0,Percentil equiponderado 73.0,1.3560466,TrendRandomWalk,0.01980045321180363,0.9297228,125000,"(0.73f0,)",ResampleSBB-36,3.5946493,0.8645966,1.3560466,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-73.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-63.0,Percentil equiponderado 63.0,1.5618548,TrendRandomWalk,0.015770884062869833,-1.3288374,125000,"(0.63f0,)",ResampleSBB-36,3.732262,0.84620017,1.5618548,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-63.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-62.0,Percentil equiponderado 62.0,1.6771384,TrendRandomWalk,0.017300302158137396,-1.5062464,125000,"(0.62f0,)",ResampleSBB-36,4.2435007,0.84339386,1.6771384,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-62.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-74.0,Percentil equiponderado 74.0,1.5317645,TrendRandomWalk,0.02370341457650985,1.2247101,125000,"(0.74f0,)",ResampleSBB-36,4.4482718,0.8654189,1.5317645,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-74.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-61.0,Percentil equiponderado 61.0,1.7996842,TrendRandomWalk,0.018849280437211468,-1.6791029,125000,"(0.61f0,)",ResampleSBB-36,4.812013,0.8404609,1.7996842,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-61.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-60.0,Percentil equiponderado 60.0,1.9310998,TrendRandomWalk,0.020490699904886667,-1.8514565,125000,"(0.6f0,)",ResampleSBB-36,5.4460673,0.8373665,1.9310998,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-60.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-75.0,Percentil equiponderado 75.0,1.7487254,TrendRandomWalk,0.028042948508132163,1.5336543,125000,"(0.75f0,)",ResampleSBB-36,5.524425,0.8668217,1.7487254,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-75.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-59.0,Percentil equiponderado 59.0,2.063981,TrendRandomWalk,0.022115622084530336,-2.0127075,125000,"(0.59f0,)",ResampleSBB-36,6.1062126,0.83378845,2.063981,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-59.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-58.0,Percentil equiponderado 58.0,2.2007442,TrendRandomWalk,0.023775586165550328,-2.1694453,125000,"(0.58f0,)",ResampleSBB-36,6.805736,0.8299476,2.2007442,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-58.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-76.0,Percentil equiponderado 76.0,2.015267,TrendRandomWalk,0.033357030868055144,1.8666226,125000,"(0.76f0,)",ResampleSBB-36,6.94381,0.86746,2.015267,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-76.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-57.0,Percentil equiponderado 57.0,2.3429277,TrendRandomWalk,0.02550636639296269,-2.3253667,125000,"(0.57f0,)",ResampleSBB-36,7.559432,0.82565117,2.3429277,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-57.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-56.0,Percentil equiponderado 56.0,2.4886727,TrendRandomWalk,0.02726614095475224,-2.4793494,125000,"(0.56f0,)",ResampleSBB-36,8.360568,0.820946,2.4886727,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-56.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-77.0,Percentil equiponderado 77.0,2.319373,TrendRandomWalk,0.039440608134554016,2.2218664,125000,"(0.77f0,)",ResampleSBB-36,8.712677,0.868325,2.319373,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-77.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-55.0,Percentil equiponderado 55.0,2.633543,TrendRandomWalk,0.02902720217553313,-2.6294887,125000,"(0.55f0,)",ResampleSBB-36,9.188101,0.8164251,2.633543,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-55.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-54.0,Percentil equiponderado 54.0,2.781166,TrendRandomWalk,0.030948332406511365,-2.7796078,125000,"(0.54f0,)",ResampleSBB-36,10.079547,0.81042385,2.781166,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-54.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-53.0,Percentil equiponderado 53.0,2.923037,TrendRandomWalk,0.03277068660896989,-2.9225757,125000,"(0.53f0,)",ResampleSBB-36,10.969364,0.80502325,2.923037,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-53.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-78.0,Percentil equiponderado 78.0,2.6694202,TrendRandomWalk,0.04706743170872948,2.607986,125000,"(0.78f0,)",ResampleSBB-36,10.988023,0.8682269,2.6694202,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-78.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-52.0,Percentil equiponderado 52.0,3.063964,TrendRandomWalk,0.03467506869387426,-3.063865,125000,"(0.52f0,)",ResampleSBB-36,11.899672,0.79871124,3.063964,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-52.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-51.0,Percentil equiponderado 51.0,3.199927,TrendRandomWalk,0.03663583179814341,-3.1998987,125000,"(0.51f0,)",ResampleSBB-36,12.842549,0.79140776,3.199927,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-51.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-50.0,Percentil equiponderado 50.0,3.336609,TrendRandomWalk,0.03855116532016485,-3.3365989,125000,"(0.5f0,)",ResampleSBB-36,13.826019,0.7848608,3.336609,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-50.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-79.0,Percentil equiponderado 79.0,3.0667725,TrendRandomWalk,0.05596845768887442,3.0314581,125000,"(0.79f0,)",ResampleSBB-36,13.87217,0.8688546,3.0667725,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-79.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
PercEq-80.0,Percentil equiponderado 80.0,3.507834,TrendRandomWalk,0.06718371114973773,3.4892135,125000,"(0.8f0,)",ResampleSBB-36,17.480322,0.8679305,3.507834,c:\Users\EMLF\Documents\GitHub\HEMI\data\InflationPercentileEq\HEMI - inflfn = PercEq-80.0 - nsim = 125000 - resamplefn = ResampleSBB-36 - trendfn = TrendRandomWalk.jld2
